sortcode,lang,title,detail
1,en,What if I’m not sure I have diabetes?,"The symptoms of diabetes can be very diverse. If you experience more of these you might be suspicious and better go to see a doctor: 
<ul>
<li>Going to the toilet a lot, especially at night.</li>
<li>Being really thirsty.</li>
<li>Feeling sick or more tired than usual.</li>
<li>Losing weight without trying to.</li>
<li>Genital itching or thrush.</li>
<li>Cuts and wounds take longer to heal.</li>
<li>Blurred vision.</li>
</ul>"
,,Can diabetes be cured?,"No. A cure for diabetes has not yet been found. However, diabetes can be treated and controlled. Most people with diabetes manage their disease and lead normal lives."
2,en,"What should my blood sugar be when I wake up, before and after meals? ","Fasting or before-meals blood glucose (or blood sugar) goal of 70–130 mg/dl. <br/>
One to two hours after eating at or under 180 mg/dl is recommended."
,,What are the symptoms of low blood sugar?,
3,en,Will insulin make me gain weight?,"The reason we need insulin is to push glucose into cells for energy. For this reason, it can—but doesn’t have to—cause weight gain. To prevent weight gain: 
<ul>
<li>Practice portion control. </li>
<li>Burn extra calories with exercise. </li>
<li>If you experience hypoglycemia (low blood sugar), treat it with just 15 grams of carb.</li>
</ul>"
4,en,What if my legs hurt when I start walking?,"You have signs of peripheral arterial disease. The pain may occur while you walk because muscles need increased blood flow and stops when you sit because your muscles then require less blood flow. PAD increases the risk of heart attacks, strokes, and foot ulcers. "
5,en,Can I drink alcohol?,"Yes, adults with diabetes can drink alcohol and should follow the same guidelines as the general public—an average of up to one drink per day for women and up to two drinks per day for men, with no more than three or four drinks in any single day for women and men, respectively. Alcohol is the only nutrient that doesn’t require insulin to be broken down for energy; carbohydrate, protein, and fat do. However, drinking more than three drinks per day over time has been shown to make glucose control a challenge.<br/>
For people who take insulin or another blood glucose-lowering medication that can cause hypoglycemia, eat some food when drinking alcohol. A Significant alcohol intake can cause hypoglycemia a number of hours later, so regularly check blood sugar levels when you drink."
6,en,What if I have my menstrual cycle or go through menopause?,"It’s common for women to have hormone fluctuations the week before their period, and those can affect glucose control. Women become in this period more sensitive to insulin causing hypoglycemia. 
During perimenopause, hormons fluctuate and that leads to glucose swings. An early sign of perimenopause for women who take insulin is hypoglycemia due to dropping progesterone."
7,en,What to eat before and after exercising?,"Foods that contain carbohydrate are quick and easy to digest for energy. Eat foods like bread, crackers, pretzels, dry cereal, 100 percent fruit juice, or sports drink with calories. But if weight loss is a goal and you aren’t at risk of hypoglycemia, just drink water. Unless your workout was particularly exhausting or lasted several hours, you don’t need food. <br/>
People who take insulin and are physically active should consult their health care provider about how to adjust insulin dosages."
,,When should I replace my meter?,"The only reason to replace your meter if not working correctly with its strips. To check, use the control solution that comes with your meter. To use control solution, put a drop (similar to the amount of blood you need) on a strip and do a test. Your vial of strips gives you a glucose range in which the result should fall. If it's in the range, your meter and strips are working correctly. If not, contact the manufacturer, which will offer advice and possibly a free replacement meter. Use control solution each time you open a new box of strips or any time you suspect your meter or strips aren’t working together. It is suggested to clean and disinfect your meter at least once a week when blood is on the meter and before allowing anyone else to use it. Consider upgrading your meter every five or so years."
,,,
1,hu,"Mit tegyek, ha nem vagyok biztos abban, hogy cukorbeteg vagyok-e? / Honnan tudom, hogy cukorbeteg vagyok-e? ","A cukorbetegség tünetei egészen sokfélék lehetnek. Ha az alábbi tünetek közül többet is megfigyeltél magadon és kétségeid vannak, keresd fel a háziorvosod: 
<ul>
<li>Gyakori vizelési inger, főként éjszaka.</li>
<li>Nagyon erős szomjúság érzés.</li>
<li>Rosszullét, hányinger, fáradtság, levertség érzése.</li>
<li>Testtömeg csökkenése anélkül, hogy diétáznál.</li>
<li>Szeméremtest viszketése, gombásodása, bőrgombásodás.</li>
<li>Nehezen gyógyuló sebek, sérülések.</li>
<li>Látás romlása, homályos látás.</li>
</ul>"
2,hu,"Mi a vércukor szint normális értéke reggel ébredés után, illetve étkezések előtt és után?  ","Az éhgyomri, illetve étkezés előtti vércukor szint (glükóz) normális értéke 70–130 mg/dl. <br/>
Étkezés után egy-két órával 180 mg/dl, illetve annál kisebb értékek számítanak normálisnak."
